DATE,IPB51100N
01/02/2016,103.4338
01/03/2016,102.5275
01/04/2016,105.6455
01/05/2016,100.7467
01/06/2016,105.0807
01/07/2016,92.4792
01/08/2016,103.0725
01/09/2016,102.353
01/10/2016,105.8787
01/11/2016,99.3254
01/12/2016,95.1177
01/01/2017,98.0997
01/02/2017,104.2145
01/03/2017,104.9582
01/04/2017,102.5483
01/05/2017,101.7898
01/06/2017,103.3498
01/07/2017,89.3324
01/08/2017,99.7582
01/09/2017,99.6595
01/10/2017,103.619
01/11/2017,98.9494
01/12/2017,93.7213
01/01/2018,96.8299
01/02/2018,105.5109
01/03/2018,107.6984
01/04/2018,107.4165
01/05/2018,100.6419
01/06/2018,105.6192
01/07/2018,92.5964
01/08/2018,104.7474
01/09/2018,104.8556
01/10/2018,106.5676
01/11/2018,101.6116
01/12/2018,96.7943
01/01/2019,97.0688
01/02/2019,104.4478
01/03/2019,105.4622
01/04/2019,101.7294
01/05/2019,101.9748
01/06/2019,105.6278
01/07/2019,93.2517
01/08/2019,104.0012
01/09/2019,100.5853
01/10/2019,99.8224
01/11/2019,102.5506
01/12/2019,93.9444
01/01/2020,100.5032
01/02/2020,110.4145
01/03/2020,92.7798
01/04/2020,55.3603
01/05/2020,65.6089
01/06/2020,95.2403
01/07/2020,98.2061
01/08/2020,108.6209
01/09/2020,104.7624
01/10/2020,109.1652
01/11/2020,104.2701
01/12/2020,99.9334
01/01/2021,107.2227
01/02/2021,107.7645
01/03/2021,111.2102
01/04/2021,104.3385
01/05/2021,104.4706
01/06/2021,106.2852
01/07/2021,98.2699
01/08/2021,105.821
01/09/2021,99.765
01/10/2021,108.2644
01/11/2021,105.4936
01/12/2021,98.8693
01/01/2022,106.5785
01/02/2022,111.0551
01/03/2022,115.0686
01/04/2022,111.3329
01/05/2022,108.3596
01/06/2022,109.4872
01/07/2022,99.6096
01/08/2022,108.2316
01/09/2022,105.5706
01/10/2022,110.8433
01/11/2022,102.7104
01/12/2022,98.0826
01/01/2023,103.8042
01/02/2023,110.8062
01/03/2023,110.8154
01/04/2023,111.1144
01/05/2023,109.1915
01/06/2023,107.8151
01/07/2023,98.7955
01/08/2023,107.3433
01/09/2023,105.7154
01/10/2023,104.5708
01/11/2023,103.6773
01/12/2023,100.7015
01/01/2024,105.3518
01/02/2024,114.3854
01/03/2024,114.9673
01/04/2024,114.7019
